name,amount,category,due_date,frequency,logo,recurring,payment_method,status,notes
verizon,145,utility,2023-08-09 00:17:52,monthly,,1,,0,
rent,1080,housing2023-08-09 00:17:52,monthly,,1,,0,
heating,15.23,housing,2023-08-09 00:17:52,monthly,,1,,0,
electricity,20,housing,2023-08-09 00:17:52,monthly,,1,,0,
internet,34.63,utility,2023-08-09 00:17:52,monthly,,1,,0,
discover,140.33,credit card,2023-08-09 00:17:52,monthly,,1,,0,
apple,0,credit card2023-08-09 00:17:52,monthly,,1,,0,
capital one,241,credit card,2023-08-09 00:17:52,monthly,,1,,0,
UAS Echo,134.05,loan,82023-08-09 00:17:52,monthly,,1,,0,
Aidvantage,368.02,loan,82023-08-09 00:17:52,monthly,,1,,0,
onPoint,683.32,loan,82023-08-09 00:17:52,monthly,,1,,0,
groceries,500,personal,82023-08-09 00:17:52,monthly,,1,,0,
cat supplies,170,personal,82023-08-09 00:17:52,monthly,,1,,0,
gym,31.45,personal,82023-08-09 00:17:52,monthly,,1,,0,
insurance,600,car,2023-08-09 00:17:52,bi-annually,,1,,0,
gas,250,car,82023-08-09 00:17:52,monthly,,1,,0,
